City,Date,AQI,PM2.5,PM10,NO2,SO2,CO,O3
Delhi,16/12/18,282,155.1,304.56,234.06,321.48,2.96,267.9
Delhi,17/12/18,337,185.35,363.96,279.71,384.18,3.54,320.15
Delhi,18/12/18,353,194.15,381.24,292.99,402.42,3.71,335.35
Delhi,19/12/18,353,194.15,381.24,292.99,402.42,3.71,335.35
Delhi,20/12/18,394,216.7,425.52,327.02,449.16,4.14,374.3
Delhi,21/12/18,386,212.3,416.88,320.38,440.04,4.05,366.7
Delhi,22/12/18,421,231.55,454.68,349.43,479.94,4.42,399.95
Delhi,23/12/18,450,247.5,486,373.5,513,4.73,427.5
Delhi,24/12/18,448,246.4,483.84,371.84,510.72,4.7,425.6
Delhi,25/12/18,409,224.95,441.72,339.47,466.26,4.29,388.55
Delhi,26/12/18,384,211.2,414.72,318.72,437.76,4.03,364.8
Delhi,27/12/18,399,219.45,430.92,331.17,454.86,4.19,379.05
Delhi,28/12/18,392,215.6,423.36,325.36,446.88,4.12,372.4
Delhi,29/12/18,385,211.75,415.8,319.55,438.9,4.04,365.75
Delhi,30/12/18,415,228.25,448.2,344.45,473.1,4.36,394.25
Delhi,31/12/18,420,231,453.6,348.6,478.8,4.41,399
Delhi,1/1/2019,393,216.15,424.44,326.19,448.02,4.13,373.35
Delhi,2/1/2019,430,236.5,464.4,356.9,490.2,4.52,408.5
Delhi,3/1/2019,444,244.2,479.52,368.52,506.16,4.66,421.8
Delhi,4/1/2019,386,212.3,416.88,320.38,440.04,4.05,366.7
Delhi,5/1/2019,407,223.85,439.56,337.81,463.98,4.27,386.65
Delhi,6/1/2019,336,184.8,362.88,278.88,383.04,3.53,319.2
Delhi,7/1/2019,333,183.15,359.64,276.39,379.62,3.5,316.35
Delhi,8/1/2019,320,176,345.6,265.6,364.8,3.36,304
Delhi,9/1/2019,288,158.4,311.04,239.04,328.32,3.02,273.6
Delhi,10/1/2019,292,160.6,315.36,242.36,332.88,3.07,277.4
